Generation,Best
0,145.002
1,144.8353
2,144.6686
3,144.702
4,135.9668
5,136.3668
6,135.5667
7,135.8
8,135.6
9,135.4333
10,135.9668
11,129.5987
12,129.5654
13,130.4322
14,129.3653
15,130.2655
16,129.5987
17,129.4987
18,129.5987
19,129.4654
20,130.3989
21,130.0655
22,130.5656
23,130.0322
24,129.532
25,130.0322
26,129.7988
27,129.4987
28,129.6654
29,129.532
30,127.5651
31,116.6986
32,116.9652
33,116.9319
34,116.6652
35,116.9652
36,117.0652
37,117.2986
38,116.9986
39,116.8319
40,116.6652
41,116.6319
42,116.6319
43,116.5652
44,116.6319
45,117.0652
46,116.5986
47,117.2319
48,117.2986
49,116.5986
50,117.0986
51,116.5986
52,116.4652
53,114.0653
54,114.0319
55,113.5986
56,113.8986
57,113.8319
58,114.0319
59,113.9319
60,114.0653
61,113.5653
62,113.9319
63,113.5653
64,113.8319
65,114.0653
66,113.4986
67,113.5986
68,114.0319
69,113.9653
70,114.5986
71,113.8653
72,113.9319
73,113.9319
74,114.1986
75,113.9653
76,113.9653
77,114.8986
78,114.1986
79,114.0653
80,113.9319
81,114.9653
82,113.9986
83,108.0654
84,107.7987
85,107.7987
86,108.3987
87,107.9654
88,107.6654
89,107.6654
90,107.9654
91,107.8987
92,108.032
93,107.6987
94,107.8654
95,107.8654
96,107.832
97,107.4987
98,108.232
99,107.932
100,107.832
101,107.8987
102,107.7987
103,107.632
104,107.632
