
2018-12-21 09: 23 pop10 mut20
Generation #1: Avg: 219 s, Median: 265 s, Best: 138 s
Generation #2: Avg: 185 s, Median: 255 s, Best: 133 s
Generation #3: Avg: 195 s, Median: 235 s, Best: 131 s
Generation #4: Avg: 200 s, Median: 234 s, Best: 114 s
Generation #5: Avg: 181 s, Median: 231 s, Best: 115 s
Generation #6: Avg: 143 s, Median: 224 s, Best: 117 s
Generation #7: Avg: 137 s, Median: 198 s, Best: 119 s
Generation #8: Avg: 153 s, Median: 215 s, Best: 112 s
Generation #9: Avg: 172 s, Median: 222 s, Best: 123 s
Generation #10: Avg: 140 s, Median: 204 s, Best: 117 s
Generation #11: Avg: 134 s, Median: 199 s, Best: 119 s
Generation #12: Avg: 140 s, Median: 199 s, Best: 119 s
Generation #13: Avg: 133 s, Median: 197 s, Best: 117 s
Generation #14: Avg: 144 s, Median: 204 s, Best: 118 s
Generation #15: Avg: 169 s, Median: 218 s, Best: 128 s
Generation #16: Avg: 154 s, Median: 220 s, Best: 133 s
Generation #17: Avg: 175 s, Median: 223 s, Best: 128 s
Generation #18: Avg: 154 s, Median: 220 s, Best: 130 s
Generation #19: Avg: 165 s, Median: 221 s, Best: 125 s
Generation #20: Avg: 143 s, Median: 213 s, Best: 120 s
Generation #21: Avg: 181 s, Median: 201 s, Best: 116 s
Generation #22: Avg: 141 s, Median: 201 s, Best: 114 s
Generation #23: Avg: 189 s, Median: 222 s, Best: 118 s
Generation #24: Avg: 173 s, Median: 233 s, Best: 124 s
Generation #25: Avg: 228 s, Median: 241 s, Best: 116 s
Generation #26: Avg: 212 s, Median: 249 s, Best: 122 s
Generation #27: Avg: 151 s, Median: 221 s, Best: 108 s
Generation #28: Avg: 164 s, Median: 252 s, Best: 124 s
Generation #29: Avg: 186 s, Median: 209 s, Best: 116 s
Generation #30: Avg: 185 s, Median: 214 s, Best: 120 s
Generation #31: Avg: 150 s, Median: 220 s, Best: 121 s
Generation #32: Avg: 150 s, Median: 225 s, Best: 123 s
Generation #33: Avg: 156 s, Median: 210 s, Best: 122 s
Generation #34: Avg: 153 s, Median: 222 s, Best: 123 s
Generation #35: Avg: 145 s, Median: 206 s, Best: 122 s
Generation #36: Avg: 180 s, Median: 211 s, Best: 124 s
Generation #37: Avg: 181 s, Median: 220 s, Best: 118 s
Generation #38: Avg: 152 s, Median: 219 s, Best: 128 s
Generation #39: Avg: 202 s, Median: 235 s, Best: 126 s
Generation #40: Avg: 152 s, Median: 207 s, Best: 125 s
Generation #41: Avg: 170 s, Median: 209 s, Best: 125 s
Generation #42: Avg: 144 s, Median: 198 s, Best: 126 s
Generation #43: Avg: 172 s, Median: 238 s, Best: 116 s
Generation #44: Avg: 167 s, Median: 227 s, Best: 118 s
Generation #45: Avg: 194 s, Median: 218 s, Best: 137 s
Generation #46: Avg: 160 s, Median: 246 s, Best: 124 s
Generation #47: Avg: 145 s, Median: 207 s, Best: 118 s
Generation #48: Avg: 186 s, Median: 219 s, Best: 116 s
Generation #49: Avg: 135 s, Median: 209 s, Best: 115 s
Generation #50: Avg: 178 s, Median: 198 s, Best: 114 s
Generation #51: Avg: 182 s, Median: 198 s, Best: 114 s
Generation #52: Avg: 177 s, Median: 201 s, Best: 117 s
Generation #53: Avg: 203 s, Median: 204 s, Best: 117 s
Generation #54: Avg: 192 s, Median: 205 s, Best: 128 s
Generation #55: Avg: 164 s, Median: 211 s, Best: 135 s
Generation #56: Avg: 169 s, Median: 215 s, Best: 125 s
Generation #57: Avg: 194 s, Median: 271 s, Best: 122 s
Generation #58: Avg: 198 s, Median: 216 s, Best: 125 s
Generation #59: Avg: 187 s, Median: 239 s, Best: 127 s
Generation #60: Avg: 178 s, Median: 249 s, Best: 121 s
Generation #61: Avg: 198 s, Median: 215 s, Best: 125 s
Generation #62: Avg: 174 s, Median: 240 s, Best: 128 s
Generation #63: Avg: 180 s, Median: 257 s, Best: 127 s
Generation #64: Avg: 173 s, Median: 216 s, Best: 127 s
Generation #65: Avg: 153 s, Median: 209 s, Best: 129 s
Generation #66: Avg: 167 s, Median: 210 s, Best: 128 s
Generation #67: Avg: 152 s, Median: 209 s, Best: 129 s
Generation #68: Avg: 142 s, Median: 209 s, Best: 125 s
Generation #69: Avg: 149 s, Median: 205 s, Best: 125 s
Generation #70: Avg: 173 s, Median: 223 s, Best: 122 s
Generation #71: Avg: 146 s, Median: 214 s, Best: 137 s
Generation #72: Avg: 172 s, Median: 209 s, Best: 125 s
Generation #73: Avg: 163 s, Median: 219 s, Best: 120 s
Generation #74: Avg: 165 s, Median: 223 s, Best: 122 s
Generation #75: Avg: 149 s, Median: 230 s, Best: 116 s
Generation #76: Avg: 162 s, Median: 214 s, Best: 124 s
Generation #77: Avg: 162 s, Median: 217 s, Best: 117 s
Generation #78: Avg: 168 s, Median: 218 s, Best: 117 s
Generation #79: Avg: 158 s, Median: 224 s, Best: 126 s
Generation #80: Avg: 159 s, Median: 227 s, Best: 120 s
Generation #81: Avg: 177 s, Median: 219 s, Best: 118 s
Generation #82: Avg: 149 s, Median: 218 s, Best: 117 s
Generation #83: Avg: 136 s, Median: 200 s, Best: 117 s
Generation #84: Avg: 143 s, Median: 200 s, Best: 117 s
Generation #85: Avg: 134 s, Median: 200 s, Best: 117 s
Generation #86: Avg: 132 s, Median: 181 s, Best: 111 s
Generation #87: Avg: 133 s, Median: 186 s, Best: 111 s
Generation #88: Avg: 124 s, Median: 180 s, Best: 108 s
Generation #89: Avg: 149 s, Median: 174 s, Best: 112 s
Generation #90: Avg: 131 s, Median: 184 s, Best: 115 s
Generation #91: Avg: 176 s, Median: 194 s, Best: 115 s
Generation #92: Avg: 156 s, Median: 200 s, Best: 107 s
Generation #93: Avg: 149 s, Median: 208 s, Best: 113 s
Generation #94: Avg: 191 s, Median: 222 s, Best: 113 s
Generation #95: Avg: 190 s, Median: 203 s, Best: 124 s
Generation #96: Avg: 233 s, Median: 226 s, Best: 118 s
Generation #97: Avg: 195 s, Median: 242 s, Best: 124 s
Generation #98: Avg: 169 s, Median: 225 s, Best: 127 s
Generation #99: Avg: 152 s, Median: 208 s, Best: 118 s
Generation #100: Avg: 166 s, Median: 220 s, Best: 119 s
Generation #101: Avg: 161 s, Median: 224 s, Best: 125 s
Generation #102: Avg: 151 s, Median: 222 s, Best: 128 s
Generation #103: Avg: 153 s, Median: 225 s, Best: 127 s

2018-12-21 12: 45 pop10 mut5
Generation #1: Avg: 228 s, Median: 303 s, Best: 145 s
Generation #2: Avg: 210 s, Median: 305 s, Best: 137 s
Generation #3: Avg: 210 s, Median: 312 s, Best: 176 s
Generation #4: Avg: 197 s, Median: 289 s, Best: 159 s
Generation #5: Avg: 182 s, Median: 273 s, Best: 121 s
Generation #6: Avg: 182 s, Median: 263 s, Best: 135 s
Generation #7: Avg: 155 s, Median: 220 s, Best: 124 s
Generation #8: Avg: 142 s, Median: 201 s, Best: 119 s
Generation #9: Avg: 136 s, Median: 201 s, Best: 122 s
Generation #10: Avg: 144 s, Median: 185 s, Best: 119 s
Generation #11: Avg: 134 s, Median: 185 s, Best: 119 s
Generation #12: Avg: 125 s, Median: 185 s, Best: 119 s
Generation #13: Avg: 124 s, Median: 186 s, Best: 124 s
Generation #14: Avg: 129 s, Median: 186 s, Best: 119 s
Generation #15: Avg: 124 s, Median: 185 s, Best: 118 s
Generation #16: Avg: 122 s, Median: 184 s, Best: 119 s
Generation #17: Avg: 121 s, Median: 179 s, Best: 119 s
Generation #18: Avg: 120 s, Median: 178 s, Best: 118 s
Generation #19: Avg: 119 s, Median: 178 s, Best: 118 s
Generation #20: Avg: 119 s, Median: 178 s, Best: 119 s
Generation #21: Avg: 121 s, Median: 178 s, Best: 119 s
Generation #22: Avg: 119 s, Median: 179 s, Best: 119 s
Generation #23: Avg: 125 s, Median: 178 s, Best: 119 s
Generation #24: Avg: 119 s, Median: 178 s, Best: 119 s
Generation #25: Avg: 124 s, Median: 178 s, Best: 117 s
Generation #26: Avg: 124 s, Median: 178 s, Best: 119 s

2018-12-21 13: 25 pop20 mut10
Generation #1: Avg: 223 s, Median: 318 s, Best: 108 s
Generation #2: Avg: 205 s, Median: 276 s, Best: 121 s
Generation #3: Avg: 168 s, Median: 220 s, Best: 115 s
Generation #4: Avg: 184 s, Median: 240 s, Best: 108 s
Generation #5: Avg: 164 s, Median: 224 s, Best: 107 s
Generation #6: Avg: 150 s, Median: 193 s, Best: 115 s
Generation #7: Avg: 157 s, Median: 207 s, Best: 111 s
Generation #8: Avg: 141 s, Median: 202 s, Best: 107 s
Generation #9: Avg: 163 s, Median: 204 s, Best: 105 s
Generation #10: Avg: 130 s, Median: 186 s, Best: 106 s
Generation #11: Avg: 135 s, Median: 179 s, Best: 104 s
Generation #12: Avg: 148 s, Median: 190 s, Best: 108 s
Generation #13: Avg: 153 s, Median: 202 s, Best: 107 s
Generation #14: Avg: 142 s, Median: 199 s, Best: 107 s
Generation #15: Avg: 163 s, Median: 218 s, Best: 109 s

2018-12-21 14:14

2018-12-21 14:15 pop20 mut2
Generation #1: Avg: 229 s, Median: 262 s, Best: 125 s
Generation #2: Avg: 188 s, Median: 227 s, Best: 123 s
Generation #3: Avg: 155 s, Median: 212 s, Best: 115 s
Generation #4: Avg: 147 s, Median: 209 s, Best: 115 s
Generation #5: Avg: 135 s, Median: 200 s, Best: 113 s
Generation #6: Avg: 130 s, Median: 198 s, Best: 108 s
Generation #7: Avg: 123 s, Median: 182 s, Best: 112 s
Generation #8: Avg: 120 s, Median: 179 s, Best: 106 s
Generation #9: Avg: 121 s, Median: 182 s, Best: 104 s
Generation #10: Avg: 115 s, Median: 174 s, Best: 105 s
Generation #11: Avg: 112 s, Median: 167 s, Best: 105 s
Generation #12: Avg: 119 s, Median: 167 s, Best: 105 s
Generation #13: Avg: 115 s, Median: 167 s, Best: 106 s
Generation #14: Avg: 115 s, Median: 167 s, Best: 106 s
Generation #15: Avg: 113 s, Median: 167 s, Best: 104 s
Generation #16: Avg: 112 s, Median: 167 s, Best: 106 s
Generation #17: Avg: 109 s, Median: 162 s, Best: 104 s
Generation #18: Avg: 110 s, Median: 162 s, Best: 105 s
